ID,albergueName,original,updated,reason
5163,Albergue El Rincón de PIN,22:00,22:00,Contains times rather than an annual opening season; time meaning not inferred
5169,Albergue de peregrinos de O Cebreiro,22:00,22:00,Contains times rather than an annual opening season; time meaning not inferred
5174,Albergue de peregrinos de Hospital da Condesa,22:00,22:00,Contains times rather than an annual opening season; time meaning not inferred
5177,Albergue Fillobal,En 2022 a partir del 1 May. All Year,"2022 note: open from 1 May, then all year. Current opening dates need confirmation.","Dated, ambiguous or invalid source data needs confirmation"
5178,Albergue de peregrinos de Triacastela,22:00,22:00,Contains times rather than an annual opening season; time meaning not inferred
5180,Albergue Berce do Camiño,23:00,23:00,Contains times rather than an annual opening season; time meaning not inferred
5195,Albergue de peregrinos de Calvor,23:00,23:00,Contains times rather than an annual opening season; time meaning not inferred
5196,Albergue de peregrinos de Sarria,22:00,22:00,Contains times rather than an annual opening season; time meaning not inferred
5224,Albergue de peregrinos Casa Forte de Lusío,22:00,22:00,Contains times rather than an annual opening season; time meaning not inferred
5225,Albergue del Monasterio de Samos,,,Opening period is empty
5269,Albergue de peregrinos de Barbadelo,22:00,22:00,Contains times rather than an annual opening season; time meaning not inferred
5274,Albergue de peregrinos de Ferreiros,22:00,22:00,Contains times rather than an annual opening season; time meaning not inferred
5278,Albergue de peregrinos de Portomarín,22:00,22:00,Contains times rather than an annual opening season; time meaning not inferred
5284,Albergue Folgueira,10:00,10:00,Contains times rather than an annual opening season; time meaning not inferred
5286,Albergue-Pensión Manuel,23:00,23:00,Contains times rather than an annual opening season; time meaning not inferred
5288,Albergue-Pensión Pons Minea,00:00,00:00,Contains times rather than an annual opening season; time meaning not inferred
5291,Albergue-Pensión Casona da Ponte,23:00,23:00,Contains times rather than an annual opening season; time meaning not inferred
5308,Albergue de peregrinos de Gonzar,23:00,23:00,Contains times rather than an annual opening season; time meaning not inferred
5312,Albergue de peregrinos de Hospital da Cruz,22:00,22:00,Contains times rather than an annual opening season; time meaning not inferred
5315,Albergue La Fuente del Peregrino,,,Opening period is empty
5316,Albergue de peregrinos de Airexe-Ligonde,23:00,23:00,Contains times rather than an annual opening season; time meaning not inferred
5318,Albergue de peregrinos Os Chacotes,22:00,22:00,Contains times rather than an annual opening season; time meaning not inferred
5319,Albergue de peregrinos de Palas de Rei,22:00,22:00,Contains times rather than an annual opening season; time meaning not inferred
5327,Albergue-Pensión Arenas Palas,13:00 a 21:00,13:00 to 21:00,Contains times rather than an annual opening season; time meaning not inferred
5341,Albergue de peregrinos de Casanova,22:00,22:00,Contains times rather than an annual opening season; time meaning not inferred
5342,Albergue de peregrinos de Melide,22:00,22:00,Contains times rather than an annual opening season; time meaning not inferred
5352,Albergue Ezequiel,13:00,13:00,Contains times rather than an annual opening season; time meaning not inferred
5357,Albergue de peregrinos de Ribadiso de Baixo,22:00,22:00,Contains times rather than an annual opening season; time meaning not inferred
5360,Albergue Mirador de Ribadiso,"MicroondasNevera
Lavadora y secadora
Taquillas individuales con llave
Camas con enchufe y luz individual",Opening period not recorded. Source lists facilities: microwave; fridge; washing machine and dryer; individual lockers with keys; beds with individual power sockets and lights.,Source content does not describe an opening period
5361,Albergue de peregrinos de Arzúa,22:00,22:00,Contains times rather than an annual opening season; time meaning not inferred
5375,Albergue Los Tres Abetos,22:00,22:00,Contains times rather than an annual opening season; time meaning not inferred
5377,Albergue Cruce de Caminos,23:00,23:00,Contains times rather than an annual opening season; time meaning not inferred
5397,Albergue A Ponte de Ferreiros,22:00,22:00,Contains times rather than an annual opening season; time meaning not inferred
5401,Albergue Andaina,23:00,23:00,Contains times rather than an annual opening season; time meaning not inferred
5402,Albergue de peregrinos de Santa Irene,22:00,22:00,Contains times rather than an annual opening season; time meaning not inferred
5406,Albergue de peregrinos de Arca - O Pino,22:00,22:00,Contains times rather than an annual opening season; time meaning not inferred
5425,Albergue de peregrinos del Monte do Gozo,22:00,22:00,Contains times rather than an annual opening season; time meaning not inferred
5428,Residencia de peregrinos San Lázaro,22:00,22:00,Contains times rather than an annual opening season; time meaning not inferred
5432,Albergue Mundoalbergue,Precio según temporada.,Opening period not recorded. Source note: prices vary by season.,Source content does not describe an opening period
5439,Albergue Blanco,14:00 a 22:00,14:00 to 22:00,Contains times rather than an annual opening season; time meaning not inferred
5445,Albergue Alda O Fogar de Teodomiro,15:00 a 21:00,15:00 to 21:00,Contains times rather than an annual opening season; time meaning not inferred
5446,Albergue A Fonte de Compostela,16:30 a 20:00,16:30 to 20:00,Contains times rather than an annual opening season; time meaning not inferred
5448,Albergue Linares,13:00 a 17:00,13:00 to 17:00,Contains times rather than an annual opening season; time meaning not inferred
5449,Ospitalia Refuge Municipal,14:00 a 20:30 (22:30 sábados y domingos),14:00 to 20:30 (22:30 on Saturdays and Sundays),Contains times rather than an annual opening season; time meaning not inferred
5450,Refuge Accueil Paroissial Kaserna,15:00 a 20:00,15:00 to 20:00,Contains times rather than an annual opening season; time meaning not inferred
5452,Gîte d'étape Ultreia Vertes Montagnes et Cie,22:00,22:00,Contains times rather than an annual opening season; time meaning not inferred
5453,Gîte Le Chemin vers l'Etoile,14:00,14:00,Contains times rather than an annual opening season; time meaning not inferred
5454,Ospitalia Refuge Municipal,14:00 (16:00 en invierno) a 20:30 (22:30 sábados y domingos),14:00 (16:00 in winter) to 20:30 (22:30 on Saturdays and Sundays),Contains times rather than an annual opening season; time meaning not inferred
5455,Refuge Accueil Paroissial Kaserna,15:00 a 19:00,15:00 to 19:00,Contains times rather than an annual opening season; time meaning not inferred
5457,Gîte d'étape Ultreia,22:00,22:00,Contains times rather than an annual opening season; time meaning not inferred
5459,Gîte Izaxulo,22:30,22:30,Contains times rather than an annual opening season; time meaning not inferred
5460,Gîte Le Lièvre et La Tortue,16:00,16:00,Contains times rather than an annual opening season; time meaning not inferred
5461,Gîte Compostelle,14:00 a 22:30,14:00 to 22:30,Contains times rather than an annual opening season; time meaning not inferred
5462,Ospitalia Refuge Municipal,14:00 (16:00 en invierno) a 20:30 (22:30 sábados y domingos),14:00 (16:00 in winter) to 20:30 (22:30 on Saturdays and Sundays),Contains times rather than an annual opening season; time meaning not inferred
5463,Refuge Accueil Paroissial Kaserna,15:00 a 19:00,15:00 to 19:00,Contains times rather than an annual opening season; time meaning not inferred
5465,Gîte d'étape Ultreia,22:00,22:00,Contains times rather than an annual opening season; time meaning not inferred
5467,Gîte Izaxulo,22:30,22:30,Contains times rather than an annual opening season; time meaning not inferred
5468,Gîte Le Lièvre et La Tortue,16:00,16:00,Contains times rather than an annual opening season; time meaning not inferred
5469,Gîte Compostelle,14:00 a 22:30,14:00 to 22:30,Contains times rather than an annual opening season; time meaning not inferred
5472,Albergue-Camping Urrobi,Dormitorios10 a 2 plazas. 16+ € en tienda / 117+ € bungalow.,"Opening period not recorded. Source accommodation note: ""Dormitories: 10 to 2 places"" (wording unclear); tent from EUR 16; bungalow from EUR 117.","Source content does not describe an opening period; Dated, ambiguous or invalid source data needs confirmation"
5473,Albergue Irugoienea,22:00,22:00,Contains times rather than an annual opening season; time meaning not inferred
5474,Albergue-Hostal Haizea,16:00,16:00,Contains times rather than an annual opening season; time meaning not inferred
5476,Albergue-Pensión Zaldiko,11:30 a 18:30,11:30 to 18:30,Contains times rather than an annual opening season; time meaning not inferred
5478,Albergue Suseia,13:00 a 19:00,13:00 to 19:00,Contains times rather than an annual opening season; time meaning not inferred
5482,Albergue-Pensión Zaldiko,11:30 a 18:30,11:30 to 18:30,Contains times rather than an annual opening season; time meaning not inferred
5484,Albergue Suseia,13:00 a 19:00,13:00 to 19:00,Contains times rather than an annual opening season; time meaning not inferred
5487,Ospitalia Refuge Municipal,14:00 (16:00 en invierno) a 20:30 (22:30 sábados y domingos),14:00 (16:00 in winter) to 20:30 (22:30 on Saturdays and Sundays),Contains times rather than an annual opening season; time meaning not inferred
5488,Refuge Accueil Paroissial Kaserna,15:00 a 19:00,15:00 to 19:00,Contains times rather than an annual opening season; time meaning not inferred
5490,Gîte d'étape Ultreia,22:00,22:00,Contains times rather than an annual opening season; time meaning not inferred
5492,Gîte Izaxulo,22:30,22:30,Contains times rather than an annual opening season; time meaning not inferred
5493,Gîte Le Lièvre et La Tortue,16:00,16:00,Contains times rather than an annual opening season; time meaning not inferred
5494,Gîte Compostelle,14:00 a 22:30,14:00 to 22:30,Contains times rather than an annual opening season; time meaning not inferred
5496,Refuge Accueil Paroissial Kaserna,15:00 a 19:00,15:00 to 19:00,Contains times rather than an annual opening season; time meaning not inferred
5497,Gîte d'étape Beilari,,,Opening period is empty
5499,Refuge Accueil Paroissial Kaserna,15:00 a 19:00,15:00 to 19:00,Contains times rather than an annual opening season; time meaning not inferred
5501,Gîte d'étape Ultreia,,,Opening period is empty
5503,Refuge Accueil Paroissial Kaserna,15:00 a 19:00,15:00 to 19:00,Contains times rather than an annual opening season; time meaning not inferred
5505,Gîte d'étape Ultreia,,,Opening period is empty
5507,Refuge Accueil Paroissial Kaserna,15:00 a 19:00,15:00 to 19:00,Contains times rather than an annual opening season; time meaning not inferred
5509,Gîte d'étape Ultreia,22:00,22:00,Contains times rather than an annual opening season; time meaning not inferred
5511,Gîte Izaxulo,22:30,22:30,Contains times rather than an annual opening season; time meaning not inferred
5512,Gîte Le Lièvre et La Tortue,16:00,16:00,Contains times rather than an annual opening season; time meaning not inferred
5513,Gîte Compostelle,14:00 a 22:30,14:00 to 22:30,Contains times rather than an annual opening season; time meaning not inferred
5515,Refuge Accueil Paroissial Kaserna,,,Opening period is empty
5517,Refuge Accueil Paroissial Kaserna,15:00 a 19:00,15:00 to 19:00,Contains times rather than an annual opening season; time meaning not inferred
5519,Gîte d'étape Ultreia,22:00,22:00,Contains times rather than an annual opening season; time meaning not inferred
5521,Gîte Izaxulo,22:30,22:30,Contains times rather than an annual opening season; time meaning not inferred
5522,Gîte Le Lièvre et La Tortue,16:00,16:00,Contains times rather than an annual opening season; time meaning not inferred
5523,Gîte Compostelle,14:00 a 22:30,14:00 to 22:30,Contains times rather than an annual opening season; time meaning not inferred
5525,Refuge Accueil Paroissial Kaserna,15:00 a 19:00,15:00 to 19:00,Contains times rather than an annual opening season; time meaning not inferred
5527,Gîte d'étape Ultreia,22:00,22:00,Contains times rather than an annual opening season; time meaning not inferred
5529,Gîte Izaxulo,,,Opening period is empty
5531,Refuge Accueil Paroissial Kaserna,15:00 a 19:00,15:00 to 19:00,Contains times rather than an annual opening season; time meaning not inferred
5533,Gîte d'étape Ultreia,22:00,22:00,Contains times rather than an annual opening season; time meaning not inferred
5535,Gîte Izaxulo,,,Opening period is empty
5537,Refuge Accueil Paroissial Kaserna,15:00 a 19:00,15:00 to 19:00,Contains times rather than an annual opening season; time meaning not inferred
5539,Gîte d'étape Ultreia,22:00,22:00,Contains times rather than an annual opening season; time meaning not inferred
5541,Gîte Izaxulo,22:30,22:30,Contains times rather than an annual opening season; time meaning not inferred
5542,Gîte Le Lièvre et La Tortue,16:00,16:00,Contains times rather than an annual opening season; time meaning not inferred
5543,Gîte Compostelle,14:00 a 22:30,14:00 to 22:30,Contains times rather than an annual opening season; time meaning not inferred
5545,Refuge Accueil Paroissial Kaserna,15:00 a 19:00,15:00 to 19:00,Contains times rather than an annual opening season; time meaning not inferred
5547,Gîte d'étape Ultreia,22:00,22:00,Contains times rather than an annual opening season; time meaning not inferred
5549,Gîte Izaxulo,22:30,22:30,Contains times rather than an annual opening season; time meaning not inferred
5550,Gîte Le Lièvre et La Tortue,16:00,16:00,Contains times rather than an annual opening season; time meaning not inferred
5551,Gîte Compostelle,14:00 a 22:30,14:00 to 22:30,Contains times rather than an annual opening season; time meaning not inferred
5552,Gîte La Coquille Napoléon,,,Opening period is empty
5554,Refuge Accueil Paroissial Kaserna,15:00 a 19:00,15:00 to 19:00,Contains times rather than an annual opening season; time meaning not inferred
5556,Gîte d'étape Ultreia,22:00,22:00,Contains times rather than an annual opening season; time meaning not inferred
5558,Gîte Izaxulo,22:30,22:30,Contains times rather than an annual opening season; time meaning not inferred
5559,Gîte Le Lièvre et La Tortue,16:00,16:00,Contains times rather than an annual opening season; time meaning not inferred
5560,Gîte Compostelle,14:00 a 22:30,14:00 to 22:30,Contains times rather than an annual opening season; time meaning not inferred
5561,Gîte La Coquille Napoléon,,,Opening period is empty
5563,Refuge Accueil Paroissial Kaserna,15:00 a 19:00,15:00 to 19:00,Contains times rather than an annual opening season; time meaning not inferred
5565,Gîte d'étape Ultreia,22:00,22:00,Contains times rather than an annual opening season; time meaning not inferred
5567,Gîte Izaxulo,22:30,22:30,Contains times rather than an annual opening season; time meaning not inferred
5568,Gîte Le Lièvre et La Tortue,16:00,16:00,Contains times rather than an annual opening season; time meaning not inferred
5569,Gîte Compostelle,14:00 a 22:30,14:00 to 22:30,Contains times rather than an annual opening season; time meaning not inferred
5570,Gîte La Coquille Napoléon,,,Opening period is empty
5572,Refuge Accueil Paroissial Kaserna,15:00 a 19:00,15:00 to 19:00,Contains times rather than an annual opening season; time meaning not inferred
5574,Gîte d'étape Ultreia,22:00,22:00,Contains times rather than an annual opening season; time meaning not inferred
5576,Gîte Izaxulo,22:30,22:30,Contains times rather than an annual opening season; time meaning not inferred
5577,Gîte Le Lièvre et La Tortue,16:00,16:00,Contains times rather than an annual opening season; time meaning not inferred
5578,Gîte Compostelle,14:00 a 22:30,14:00 to 22:30,Contains times rather than an annual opening season; time meaning not inferred
5579,Gîte La Coquille Napoléon,,,Opening period is empty
5582,Refuge Accueil Paroissial Kaserna,15:00 a 19:00,15:00 to 19:00,Contains times rather than an annual opening season; time meaning not inferred
5584,Gîte d'étape Ultreia,22:00,22:00,Contains times rather than an annual opening season; time meaning not inferred
5586,Gîte Izaxulo,22:30,22:30,Contains times rather than an annual opening season; time meaning not inferred
5587,Gîte Le Lièvre et La Tortue,16:00,16:00,Contains times rather than an annual opening season; time meaning not inferred
5588,Gîte Compostelle,14:00 a 22:30,14:00 to 22:30,Contains times rather than an annual opening season; time meaning not inferred
5589,Gîte La Coquille Napoléon,,,Opening period is empty
5591,Refuge Accueil Paroissial Kaserna,15:00 a 19:00,15:00 to 19:00,Contains times rather than an annual opening season; time meaning not inferred
5593,Gîte d'étape Ultreia,22:00,22:00,Contains times rather than an annual opening season; time meaning not inferred
5595,Gîte Izaxulo,22:30,22:30,Contains times rather than an annual opening season; time meaning not inferred
5596,Gîte Le Lièvre et La Tortue,16:00,16:00,Contains times rather than an annual opening season; time meaning not inferred
5597,Gîte Compostelle,14:00 a 22:30,14:00 to 22:30,Contains times rather than an annual opening season; time meaning not inferred
5598,Gîte La Coquille Napoléon,,,Opening period is empty
5600,Refuge Accueil Paroissial Kaserna,15:00 a 19:00,15:00 to 19:00,Contains times rather than an annual opening season; time meaning not inferred
5602,Gîte d'étape Ultreia,22:00,22:00,Contains times rather than an annual opening season; time meaning not inferred
5604,Gîte Izaxulo,22:30,22:30,Contains times rather than an annual opening season; time meaning not inferred
5605,Gîte Le Lièvre et La Tortue,16:00,16:00,Contains times rather than an annual opening season; time meaning not inferred
5606,Gîte Compostelle,14:00 a 22:30,14:00 to 22:30,Contains times rather than an annual opening season; time meaning not inferred
5607,Gîte La Coquille Napoléon,,,Opening period is empty
5609,Refuge Accueil Paroissial Kaserna,15:00 a 19:00,15:00 to 19:00,Contains times rather than an annual opening season; time meaning not inferred
5611,Gîte d'étape Ultreia,22:00,22:00,Contains times rather than an annual opening season; time meaning not inferred
5613,Gîte Izaxulo,22:30,22:30,Contains times rather than an annual opening season; time meaning not inferred
5614,Gîte Le Lièvre et La Tortue,16:00,16:00,Contains times rather than an annual opening season; time meaning not inferred
5615,Gîte Compostelle,14:00 a 22:30,14:00 to 22:30,Contains times rather than an annual opening season; time meaning not inferred
5616,Gîte La Coquille Napoléon,,,Opening period is empty
5618,Refuge Accueil Paroissial Kaserna,15:00 a 19:00,15:00 to 19:00,Contains times rather than an annual opening season; time meaning not inferred
5620,Gîte d'étape Ultreia,22:00,22:00,Contains times rather than an annual opening season; time meaning not inferred
5622,Gîte Izaxulo,22:30,22:30,Contains times rather than an annual opening season; time meaning not inferred
5623,Gîte Le Lièvre et La Tortue,16:00,16:00,Contains times rather than an annual opening season; time meaning not inferred
5624,Gîte Compostelle,14:00 a 22:30,14:00 to 22:30,Contains times rather than an annual opening season; time meaning not inferred
5625,Gîte La Coquille Napoléon,,,Opening period is empty
5626,Gîte d'étape Zuharpeta,,,Opening period is empty
5627,Gîte Bidean,,,Opening period is empty
5629,Refuge Accueil Paroissial Kaserna,15:00 a 19:00,15:00 to 19:00,Contains times rather than an annual opening season; time meaning not inferred
5631,Gîte d'étape Ultreia,22:00,22:00,Contains times rather than an annual opening season; time meaning not inferred
5633,Gîte Izaxulo,22:30,22:30,Contains times rather than an annual opening season; time meaning not inferred
5634,Gîte Le Lièvre et La Tortue,16:00,16:00,Contains times rather than an annual opening season; time meaning not inferred
5635,Gîte Compostelle,14:00 a 22:30,14:00 to 22:30,Contains times rather than an annual opening season; time meaning not inferred
5636,Gîte La Coquille Napoléon,,,Opening period is empty
5637,Gîte d'étape Zuharpeta,,,Opening period is empty
5638,Gîte Bidean,,,Opening period is empty
5640,Refuge Accueil Paroissial Kaserna,15:00 a 19:00,15:00 to 19:00,Contains times rather than an annual opening season; time meaning not inferred
5642,Gîte d'étape Ultreia,22:00,22:00,Contains times rather than an annual opening season; time meaning not inferred
5644,Gîte Izaxulo,22:30,22:30,Contains times rather than an annual opening season; time meaning not inferred
5645,Gîte Le Lièvre et La Tortue,16:00,16:00,Contains times rather than an annual opening season; time meaning not inferred
5646,Gîte Compostelle,14:00 a 22:30,14:00 to 22:30,Contains times rather than an annual opening season; time meaning not inferred
5647,Gîte La Coquille Napoléon,,,Opening period is empty
5648,Gîte d'étape Zuharpeta,,,Opening period is empty
