ID,albergueName,original,updated
4538,Albergue de los Padres Reparadores,12:00 (14:00 en temporada baja),12:00 (14:00 in low season)
4539,Albergue Jakue,Holy Week a mediados October,Holy Week to mid-October
4540,Albergue Santiago Apóstol - Camping El Real,Holy Week - 31 October,Holy Week to 31 October
4541,Albergue Puente,15 March - 31 October,15 March to 31 October
4542,Albergue Amalur,1 April a mediados October,1 April to mid-October
4543,Albergue Estrella Guía,"All Year, excepto del 18 December - 2 January","All year, except 18 December to 2 January"
4544,Albergue Gares,15 April - 31 October,15 April to 31 October
4549,Albergue Amalur,Holy Week a mediados October,Holy Week to mid-October
4552,Albergue de peregrinos de Estella,"All Year, excepto del 12 December - 15 January","All year, except 12 December to 15 January"
4554,Albergue Capuchinos Rocamador,"1 March - 23 December (resto del año, solo grupos con reserva)",1 March to 23 December (groups only by prior reservation during the rest of the year)
4555,Albergue de la fundación ANFAS,15 May - 10 September,15 May to 10 September
4556,Albergue La Hostería de Curtidores,All Year,All year
4557,Ágora Hostel,1 March - 12 November,1 March to 12 November
4558,Alda Estella Hostel,15 March - 31 October,15 March to 31 October
4559,Albergue juvenil Oncineda,mediados March a  October,mid-March to October
4560,Albergue de peregrinos San Cipriano,All Year,All year
4561,Albergue Oasis Trails,1 April - 31 October,1 April to 31 October
4562,Albergue Villamayor de Monjardín,1 March - 10 November,1 March to 10 November
4563,Albergue Casa Tiago,1 March - 30 November,1 March to 30 November
4565,Albergue La Fuente - Casa de Austria,1 March - 31 October,1 March to 31 October
4566,Albergue Casa de la Abuela,1 March - 31 October (resto del año confirmar disponibilidad),1 March to 31 October (confirm availability during the rest of the year)
4701,Albergue El Cantero,2 April - 31 October,2 April to 31 October
4702,Albergue Cirauqui Casa Maralotx,1 April - 14 October,1 April to 14 October
4703,Albergue de Lorca,1 April - 31 October,1 April to 31 October
4704,Albergue La Bodega del Camino,1 April - 31 October (el resto del año solo grupos),1 April to 31 October (groups only during the rest of the year)
4705,Albergue La Casa Mágica,8 March - 31 October,8 March to 31 October
4706,Albergue Etxeurdina,Nota Febrero 2023: cerrado provisionalmente. [5 March - 15-30 October. Cerrado del 14 - 19 August.],February 2023 note: temporarily closed. Previously listed season: 5 March to 15-30 October (end date unclear); closed 14-19 August. Current opening status needs confirmation.
4733,Albergue Palacio de Sansol,1 April - 31 October,1 April to 31 October
4735,Albergue Sansol,1 April - 31  October,1 April to 31 October
4737,Albergue Casa Mariela,"All Year, excepto algunos días por Navidad","All year, except some days around Christmas"
4739,Albergue de peregrinos Andrés Muñoz,All Year,All year
4741,Albergue Izar,1 March - 31 October (temporada baja solo grupos),1 March to 31 October (groups only in low season)
4877,Albergue de peregrinos de Logroño,13:00 (de  April a  October) / 15:00 (resto del año),13:00 (April to October) / 15:00 (rest of the year)
4878,Albergue parroquial Santiago El Real,12:00 (de  June a  September) / 14:00 (resto del año),12:00 (June to September) / 14:00 (rest of the year)
4879,Albergue Albas,1 March - 15 December,1 March to 15 December
4880,Albergue Logroño - Pensión La Bilbaina,All Year (excepto del 25 December - 1 January),All year (except 25 December to 1 January)
4881,Albergue Santiago Apóstol,1 April - 31 October,1 April to 31 October
4882,Albergue Logroño Centro,14:00 a 24:00,14:00 to 24:00
4883,Winederful Hostel & Café,1 March - 8 December,1 March to 8 December
4891,Albergue de peregrinos de Nájera,15 March - 15 December,15 March to 15 December
4892,Albergue Puerta de Nájera,1 March - 15 November,1 March to 15 November
4893,Albergue Sancho III - La Judería,1 March - 31 October,1 March to 31 October
4894,Albergue Nido de Сigüeña,1 April - 31 October,1 April to 31 October
4896,Albergue El Peregrino,11:30 a 22:30,11:30 to 22:30
4897,Albergue de peregrinos de Azofra,1 April - 31 October,1 April to 31 October
4898,Albergue Virgen de Guadalupe,15 March - 31 October,15 March to 31 October
4899,Albergue Victoria,1 March - 31 October,1 March to 31 October
4900,Albergue de la Cofradía del Santo,11:00 (13:00 en invierno),11:00 (13:00 in winter)
4901,Hospedería de la Abadía Cisterciense,1 May - 30 September,1 May to 30 September
4904,Albergue municipal El Corro,All Year,All year
4906,Albergue Cuatro Cantones,1 March - 31 October,1 March to 31 October
4907,Albergue-Pensión Caminante,1 March - 31 October,1 March to 31 October
4908,Albergue A Santiago,1 April - 31 October,1 April to 31 October
4909,Hostel Punto B,All Year (en  December confirmar),All year (confirm December availability)
4910,Albergue parroquial de San Juan de Ortega,3 April - 12 October,3 April to 12 October
4913,Albergue municipal de Agés,"Cierra los miércoles. All Year (en temporada baja, confirmar)",Closed on Wednesdays. All year (confirm availability in low season)
4914,Albergue El Pajar de Agés,1 April - 31 October,1 April to 31 October
4915,Albergue Fagus,14 March - 31 October,14 March to 31 October
4917,Albergue La Hutte,En 2022 a partir del 1 May,2022 note: open from 1 May. Current opening dates need confirmation.
4918,Hostel La Plazuela Verde,13:00 a 20:00,13:00 to 20:00
4919,Albergue de peregrinos de Olmos de Atapuerca,"Cocinauso libreMicroondasNevera
Resguardo para bicicletas cubierto",Opening period not recorded. Source lists facilities: kitchen available for guests to use; microwave; fridge; covered bicycle storage.
4921,Albergue Vía Minera,1 March - 31 October,1 March to 31 October
4922,Albergue Santa Fe,"All Year, excepto del 22 November - 28 February","All year, except 22 November to 28 February"
4923,Albergue de peregrinos Casa del Cubo y de los Lerma,12:00 (de Holy Week - 15 September) / 14:00 (resto del año),12:00 (Holy Week to 15 September) / 14:00 (rest of the year)
4924,Albergue Casa de Peregrinos de Emaús,1 April - 31 October (cerrado del 6 - 10 April),1 April to 31 October (closed 6 to 10 April)
4925,Albergue Santiago y Santa Catalina,1 April - 31 October,1 April to 31 October
4926,Hostel Catedral Burgos,13:00 a 22:00,13:00 to 22:00
4931,Albergue de peregrinos de Tardajos,En 2023: del 1 April - 12 November,2023 season: 1 April to 12 November. Current opening dates need confirmation.
4932,Albergue La Fábrica,"All Year, excepto en  January","All year, except in January"
4933,Albergue-Hotel La Casa de Beli,1 March - 23 December,1 March to 23 December
4935,Albergue de peregrinos de Hornillos del Camino,"All Year, excepto  February","All year, except February"
4936,Albergue El Alfar de Hornillos,Holy Week - 31 October,Holy Week to 31 October
4937,Albergue Hornillos Meeting Point,1 April - 31 October,1 April to 31 October
4941,Albergue de peregrinos de San Bol,4 April - 31 October,4 April to 31 October
4942,Albergue Fuente Sidres,"1 February - 31 November (resto del año, posible apertura los finessemana)","1 February to ""31 November"" (invalid end date in source; confirm closing date). May open at weekends during the rest of the year."
4943,Albergue municipal Antiguo Hospital de San Juan,All Year ( December y  January consultar),All year (enquire about December and January opening)
4944,Albergue El Puntido, March a  November (fueraestos meses consultar),March to November (enquire about opening outside these months)
4946,Albergue Juan de Yepes - Santa Brígida,1 April - 31 October,1 April to 31 October
4947,Albergue Hospital de peregrinos de San Antón,1 April - 19 October,1 April to 19 October
4951,Albergue Rosalía,26 March - 1 November,26 March to 1 November
4952,Albergue Orión,1 March - 30 November,1 March to 30 November
4953,Albergue-Hotel A Cien Leguas,"Cierra los martes. All Year (en temporada baja, confirmar)",Closed on Tuesdays. All year (confirm availability in low season)
4954,Albergue La Rinconada,"IdiomasESENFR
Cena Desayuno 4 euros
Lavadora y secadora
Taquillas individuales con llave
Camas con enchufe y luz individual
Accesible a personas con movilidad reducida
Resguardo para bicicletas
Jardín","Opening period not recorded. Source lists languages and facilities: Spanish, English and French; dinner; breakfast EUR 4; washing machine and dryer; individual lockers with keys; beds with individual power sockets and lights; accessible for people with reduced mobility; bicycle storage; garden."
4962,Albergue de peregrinos de Frómista,12:00 en verano y 15:00 el resto del año,12:00 in summer and 15:00 during the rest of the year
4963,Albergue Luz de Frómista,"All Year, excepto del 5 December - 17 January","All year, except 5 December to 17 January"
4964,Albergue Estrella del Camino,1 March - 30 November,1 March to 30 November
4965,Acogida de invierno Betania," December a  February, y October a  Mayforma discontinua",Intermittent opening from December to February and October to May (overlapping periods as recorded; confirm availability).
4966,Albergue Vicus,"All Year, excepto por fiestasNavidad","All year, except during the Christmas holidays"
4967,Albergue Amanecer,1 April - 31 October,1 April to 31 October
4969,Albergue Don Camino,1 April - 31 October,1 April to 31 October
4970,Albergue parroquial Santa María,1 April - 31 October,1 April to 31 October
4971,Albergue-hospedería del Convento de Santa Clara,1 March - 30 November,1 March to 30 November
4977,Albergue Camino Real,10 March - 10 November,10 March to 10 November
4978,Albergue Los Canarios,Holy Week - 31 October,Holy Week to 31 October
4980,Albergue La Morena,Check-in: 13:00 a 20:00,Check-in: 13:00 to 20:00
4982,Albergue Los Templarios,1 March - 31 October,1 March to 31 October
4985,Albergue Hospital San Bruno,1 April - 31 October,1 April to 31 October
4986,Albergue-hostal Moratinos,All Year,All year
4987,Albergue Laganares,mediados March - 31 October,mid-March to 31 October
4988,Albergue de peregrinos Cluny,"All Year, excepto fiestasNavidad","All year, except during the Christmas holidays"
4989,Albergue de peregrinos de la Santa Cruz,15 March - 15 November,15 March to 15 November
4990,Albergue Viatoris,1 March - 31 October,1 March to 31 October
4994,Albergue Santa Clara,Cierra los jueves. All Year,Closed on Thursdays. All year
4995,Albergue Bercianos 1900,1 March - 31 November,"1 March to ""31 November"" (invalid end date in source; confirm closing date)."
4996,Albergue La Perala,"Bar-RestauranteMenú 14 euros
Lavadora y secadora
Taquillas individuales con llave
Accesible a personas con movilidad reducida
Resguardo para bicicletas cubierto",Opening period not recorded. Source lists facilities: bar/restaurant; set menu EUR 14; washing machine and dryer; individual lockers with keys; accessible for people with reduced mobility; covered bicycle storage.
5002,Albergue-Hostal Vía Trajana,"1 April - 31 October, excepto del 1 July - 26 August","1 April to 31 October, except 1 July to 26 August"
5004,Albergue La Laguna,1 March - 31 October,1 March to 31 October
5005,Albergue de peregrinos La Vieja Escuela,1 dormitorio4 plazas y 2 dormitorios2 plazas.,Opening period not recorded. Source accommodation note: one 4-bed dormitory and two 2-bed dormitories.
5006,Albergue de peregrinos de Reliegos,13:00 en verano y 14:30 el resto del año,13:00 in summer and 14:30 during the rest of the year
5007,Albergue La Parada,Holy Week - 31 October,Holy Week to 31 October
5008,Albergue Las Hadas,1 April - 31 October (ver Observaciones),1 April to 31 October (see additional comments)
5009,Albergue Gil,Holy Week - 31 October,Holy Week to 31 October
5010,Albergue Vive tu Camino,1 March - 31 October,1 March to 31 October
5011,Albergue El Jardín del Camino,"All Year (en invierno cierran algunos días, por tanto confirmar)",All year (closed on some winter days; confirm availability)
5012,Albergue Gaia,"All Year, excepto fiestasNavidad y  February","All year, except during the Christmas holidays and February"
5015,Albergue San Pelayo,All Year (en invierno hay que avisar),All year (advance notice required in winter)
5016,Albergue-Hostal El Delfín Verde,No tiene,"Opening period not recorded (source says ""None""; meaning unclear)."
5017,Albergue La Torre,"Cerrado temporalmente [All Year, en temporada baja reserva necesaria]","Temporarily closed (undated source note; confirm current status). Previously listed as open all year, with reservations required in low season."
5018,Albergue del convento de las carbajalas,All Year (en invierno conviene llamar),All year (telephone ahead in winter)
5020,Albergue Santo Tomás de Canterbury,1 March - 30 November,1 March to 30 November
5021,Albergue-Residencia Miguel de Unamuno,Para peregrinos July a mediados September,For pilgrims: July to mid-September
5022,Albergue Check in León,All Year,All year
5023,Albergue Muralla Leonesa,1 March - 31 October cada día; el resto del añojueves a domingo,1 March to 31 October daily; Thursdays to Sundays during the rest of the year
5030,Albergue La Casa del Camino,1 April - 31 October,1 April to 31 October
5032,Albergue de peregrinos de San Martín del Camino,All Year (en invierno verificar),All year (confirm winter availability)
5033,Albergue Santa Ana,No tiene,"Opening period not recorded (source says ""None""; meaning unclear)."
5035,Albergue La Casa Verde,1 March - 25 November,1 March to 25 November
5042,Albergue parroquial Karl Leisner,1 March - 31 October,1 March to 31 October
5043,Albergue San Miguel,1 April - 31 October,1 April to 31 October
5044,Albergue Verde,1 April - 31 October,1 April to 31 October
5045,Albergue La Encina,"All Year, excepto fiestasNavidad","All year, except during the Christmas holidays"
5046,Albergue Casa de los Hidalgos,1 March - 31 October,1 March to 31 October
5047,Albergue Villares de Órbigo,1 April - 30 September,1 April to 30 September
5048,Albergue el Encanto,"All Year, excepto  November, fiestasNavidad y  February","All year, except November, the Christmas holidays and February"
5050,Albergue Camino Francés,8 March - 29 October,8 March to 29 October
5051,L'Abilleiru Albergue Rural,1 February - 17 December,1 February to 17 December
5053,Albergue San Javier,En 2023: del 24 April - 31 October,2023 season: 24 April to 31 October. Current opening dates need confirmation.
5054,Albergue Só Por Hoje,1 March - 30 November,1 March to 30 November
5055,Albergue MyWay,1 April a mediados November,1 April to mid-November
5062,Albergue de Jesús,"All Year, excepto por las FiestasNavidad","All year, except during the Christmas holidays"
5064,Albergue Tío Pepe,"All Year, excepto  January y  February","All year, except January and February"
5065,Albergue Santa Lucía,1 April - 31 October,1 April to 31 October
5085,Albergue de peregrinos de Murias de Rechivaldo,1 April - 15 November,1 April to 15 November
5086,Albergue Las Águedas,All Year (de  November a  February solo grupos),All year (groups only from November to February)
5088,Albergue Hospedería San Blas,All Year (en temporada baja con reserva),All year (prior reservation required in low season)
5089,Albergue-Casa Rural El Caminante,No tiene,"Opening period not recorded (source says ""None""; meaning unclear)."
5090,Albergue La Bohéme,1 April - 31 October,1 April to 31 October
5091,Albergue Gabino,1 March - 15 November,1 March to 15 November
5093,Albergue municipal de Rabanal del Camino,All Year (en invierno confirmar),All year (confirm winter availability)
5094,Refugio Gaucelmo,1 April - 31 October,1 April to 31 October
5095,Albergue Nuestra Señora del Pilar,"All Year, excepto del 8 January - 28 February","All year, except 8 January to 28 February"
5096,Albergue La Senda,1 April - 31 October,1 April to 31 October
5097,Albergue parroquial Domus Dei,1 April - 31 October,1 April to 31 October
5098,Albergue Monte Irago,All Year (en invierno verificar),All year (confirm winter availability)
5099,Albergue La Posada del Druida,1 March - 31 October,1 March to 31 October
5100,Albergue La Cruz de Fierro, March a  November (resto del año bajo reserva),March to November (prior reservation required during the rest of the year)
5101,Albergue El Convento de Foncebadón, March a  November,March to November
5109,Albergue parroquial Santiago Apóstol,1 March - 15 November,1 March to 15 November
5110,Albergue Mesón El Acebo,"Martes cerrado. All Year, excepto  December y  January.","Closed on Tuesdays. All year, except December and January."
5111,Albergue La Casa del Peregrino,14 March - 13 October,14 March to 13 October
5113,Albergue Santa Marina,1 March - 31 October,1 March to 31 October
5115,Albergue Señor Oso,"All Year, excepto fiestasNavidad","All year, except during the Christmas holidays"
5117,Albergue-Casa Rural Lua Bierzo,20 April - 30 October,20 April to 30 October
5118,Albergue parroquial San Nicolás de Flüe,Entre las 13:00 y las 15:00 (según temporada),"Between 13:00 and 15:00, depending on the season (type of time not specified)."
5119,Albergue Alea,1 April - 30 November,1 April to 30 November
5120,Albergue Guiana,1 March - 31 October,1 March to 31 October
5121,Albergue Alda Pilgrim Ponferrada,14:00 a 00:00,14:00 to 00:00
5122,Albergue El Templarín,1 March - 31 October,1 March to 31 October
5128,Albergue Naraya,1 April - 30 November,1 April to 30 November
5129,Albergue La Medina,All Year (en invierno bajo reserva),All year (prior reservation required in winter)
5130,Albergue de peregrinos de Cacabelos,1 April - 24 September (el resto del año se abre un refugio alternativo),1 April to 24 September; an alternative shelter opens during the rest of the year.
5132,Albergue-Pensión El Molino,"All Year, excepto dos semanas en  September","All year, except two weeks in September"
5133,Albergue El Serbal y la Luna,1 March - 30 November,1 March to 30 November
5134,Acogida La Biznaga,"All Year, excepto del 19 December - 7 January","All year, except 19 December to 7 January"
5135,Albergue de peregrinos de Villafranca del Bierzo,1 March - 15 December,1 March to 15 December
5137,Albergue de la Piedra,1 March - 30 November,1 March to 30 November
5138,Albergue Leo,1 March - 30 November,1 March to 30 November
5139,Albergue El Castillo,1 March - 31 October,1 March to 31 October
5140,Albergue-Hospedería San Nicolás El Real,All Year (en invierno con reserva),All year (prior reservation required in winter)
5142,Albergue-Hostel Viña Femita,1 March - 30 November,1 March to 30 November
5151,Albergue Lamas,1 March - 30 November,1 March to 30 November
5152,Albergue de peregrinos de Trabadelo,1 April - 31 October,1 April to 31 October
5153,Albergue parroquial Trabadelo,All Year (en invierno con reserva),All year (prior reservation required in winter)
5154,Albergue Crispeta,All Year (en invierno con reserva),All year (prior reservation required in winter)
5155,Albergue Camino y Leyenda,1 April - 31 October,1 April to 31 October
5156,Albergue Casa Susi,12 April - 15 November,12 April to 15 November
5157,Albergue-Hostal El Peregrino, March a mediados November,March to mid-November
5158,Albergue Vagabond Vieiras,Holy Week - 8 November,Holy Week to 8 November
5160,Albergue de peregrinos de Vega de Valcarce,finales March a inicios November,late March to early November
5161,Albergue El Paso,1 April - 10 December,1 April to 10 December
5162,Albergue Pequeño Potala,13:00 aproximadamente,13:00 approximately
5164,Albergue Las Herrerías,1 April - 15 November,1 April to 15 November
5165,Albergue-Pensión Casa Lixa,15 March - 15 November,15 March to 15 November
5166,Albergue de La Faba,1 April - 31 October,1 April to 31 October
5167,Tito's La Faba Rooms,1 March a finales November,1 March to late November
5168,Albergue La Escuela, March a  November,March to November
5170,Albergue Casa Campelo,1 May - 30 November,1 May to 30 November
5173,Albergue Linar do Rei,1 March - 30 November,1 March to 30 November
5175,Albergue El Puerto,"All Year, excepto algunos días en invierno","All year, except some days in winter"
5176,Albergue-Pensión A Reboleira,1 March - 30 November,1 March to 30 November
5177,Albergue Fillobal,En 2022 a partir del 1 May. All Year,"2022 note: open from 1 May, then all year. Current opening dates need confirmation."
5179,Albergue Aitzenea,15 April - 15 October,15 April to 15 October
5181,Albergue Refugio del Oribio,All Year,All year
5182,Albergue-Pensión Complexo Xacobeo,1 February - 21 December,1 February to 21 December
5183,Albergue A Horta de Abel,1 April - 31 October,1 April to 31 October
5184,Albergue-Pensión Lemos,Holy Week - primer finsemana November,Holy Week to the first weekend in November
5185,Albergue Atrio,1 March - 30 November,1 March to 30 November
5194,Albergue Ecológico El Beso,1 March - 31 October,1 March to 31 October
5197,Albergue Monasterio de la Magdalena,1 April - 31 October,1 April to 31 October
5198,Albergue-Pensión Don Álvaro,"1 March - 12 November (resto del año, solo grupos con reserva)",1 March to 12 November (groups only by prior reservation during the rest of the year)
5199,Albergue O Durmiñento,1 April - 30 November,1 April to 30 November
5200,Albergue Los Blasones,1 March - 30 November (resto del año solo grupos bajo reserva),1 March to 30 November (groups only by prior reservation during the rest of the year)
5201,Albergue San Lázaro,Holy Week - 31 October,Holy Week to 31 October
5202,Albergue Casa Peltre,1 April - 31 October,1 April to 31 October
5203,Albergue Mayor,1 April - 31 October,1 April to 31 October
5204,Albergue-Pensión A Pedra,15 March - 30 November,15 March to 30 November
5205,Albergue Oasis,All Year,All year
5206,Albergue Obradoiro,1 April - 31 October,1 April to 31 October
5207,Albergue Credencial,All Year,All year
5208,Albergue-Pensión Puente Ribeira,1 March - 31 October,1 March to 31 October
5209,Albergue Alma do Camiño,1 March - 31 October (resto del año solo grupos previa reserva),1 March to 31 October (groups only by prior reservation during the rest of the year)
5210,Albergue-Pensión Matías Locanda,1 April - 31 October,1 April to 31 October
5211,Albergue Barullo,"1 March - 31 October, y algunos días en  December","1 March to 31 October, and some days in December"
5212,Albergue-Pensión El Bordón de la Casa Batallón,"All Year, excepto del 30 December - 10 January","All year, except 30 December to 10 January"
5213,Albergue Internacional,Holy Week a mediados October,Holy Week to mid-October
5214,Sleeping Sarria Hostel,All Year (en invierno bajo reserva),All year (prior reservation required in winter)
5215,Hostel Andaina,1 April - 31 October,1 April to 31 October
5226,Albergue Tras do Convento,1 April - 15 December,1 April to 15 December
5227,Albergue Val de Samos,1 April - 31 October (resto del año solo grupos previa reserva),1 April to 31 October (groups only by prior reservation during the rest of the year)
5268,Albergue-Pensión Casa Barbadelo,Holy Week - 31 October,Holy Week to 31 October
5270,Albergue A Casa de Carmen,1 April - 30 November,1 April to 30 November
5271,Albergue O Pombal,Holy Week - 30 November,Holy Week to 30 November
5272,Albergue Molino de Marzán,1 April - 31 October,1 April to 31 October
5273,Albergue-Pensión Casa Morgade,1 April - 7 November,1 April to 7 November
5275,Albergue Casa Cruceiro de Ferreiros,Holy Week a principios November,Holy Week to early November
5276,Albergue de Mercadoiro,Cierra los sábados. 1 March a mediados November.,Closed on Saturdays. 1 March to mid-November.
5277,Albergue Casa Banderas,1 April - 31 October,1 April to 31 October
5279,Albergue Ferramenteiro,Holy Week - 31 October,Holy Week to 31 October
5280,Albergue-Pensión El Caminante,1 April - 31 October,1 April to 31 October
5281,Albergue-Pensión PortoSantiago,All Year,All year
5282,Albergue-Pensión Ultreia,All Year,All year
5283,Albergue Novo Porto,1 March - 30 November,1 March to 30 November
5285,Albergue Casa Cruz,1 March - 31 October,1 March to 31 October
5287,Albergue Casa do Marabillas,1 April - 31 October,1 April to 31 October
5289,Albergue-Pensión Aqua Portomarín,Holy Week - 30 November,Holy Week to 30 November
5290,Albergue Pasiño a Pasiño,All Year (en invierno con reserva),All year (prior reservation required in winter)
5292,Albergue Huellas,1 April a  November,1 April to November
5309,Albergue Casa García,Holy Week a  November,Holy Week to November
5310,Albergue-Hostería de Gonzar,Holy Week - 30 November,Holy Week to 30 November
5311,Albergue Ortiz,1 March - 30 November,1 March to 30 November
5313,Albergue Casa Molar,1 March - 30 November,1 March to 30 November
5314,Albergue-Pensión O Cruceiro,1 March - 30 November,1 March to 30 November
5317,Albergue-Pensión A Paso de Formiga,Holy Week - 31 October,Holy Week to 31 October
5320,Albergue Buen Camino,Holy Week - 15 October,Holy Week to 15 October
5321,Albergue Mesón de Benito,15 March - 30 November,15 March to 30 November
5322,Albergue Castro,"All Year, excepto  January","All year, except January"
5323,Albergue-Pensión San Marcos,Holy Week - 8 o 10 December (en  March grupos con reserva),Holy Week to 8 or 10 December (confirm closing date); groups accepted in March by prior reservation.
5324,Albergue Outeiro,1 March - 31 October,1 March to 31 October
5325,Albergue A Casiña di Marcello,All Year (en temporada baja con reserva),All year (prior reservation required in low season)
5326,Albergue-Pensión Zendoira,"All Year, excepto del 21 December - 21 January (salvo grupos con reserva)","All year, except 21 December to 21 January (except for groups with prior reservations)"
5327,Albergue-Pensión Arenas Palas,13:00 a 21:00,13:00 to 21:00
5339,Albergue O Abrigadoiro,1 April - 31 October,1 April to 31 October
5340,Albergue Casa Domingo,Holy Week - 31 October,Holy Week to 31 October
5343,Albergue O Apalpador,15 March a  December,15 March to December
5344,Albergue O Cruceiro,1 April - 31 October (en  March grupos con reserva),1 April to 31 October (groups accepted in March by prior reservation)
5345,Albergue Pereiro,"1 March - 30 November (resto del año, solo grupos con reserva)",1 March to 30 November (groups only by prior reservation during the rest of the year)
5346,Albergue Melide,Holy Week - 31 October,Holy Week to 31 October
5347,Albergue San Antón,1 March - 31 October (resto del año solo grupos con reserva),1 March to 31 October (groups only by prior reservation during the rest of the year)
5348,Albergue Alfonso II El Casto,Holy Week - 31 October (grupos resto del año),Holy Week to 31 October (groups during the rest of the year)
5349,Albergue Arraigos,"All Year, excepto del 12 December - 8 January","All year, except 12 December to 8 January"
5350,Albergue Montoto,Holy Week - 31 October,Holy Week to 31 October
5351,Albergue O Candil,15 March - 15 October,15 March to 15 October
5353,Albergue-Pensión Boente,1 March - 30 November (resto del año grupos con reserva),1 March to 30 November (groups by prior reservation during the rest of the year)
5354,Albergue El Alemán,Sábados cerrado. 1 April - 30 October,Closed on Saturdays. 1 April to 30 October
5355,Albergue Fuente Saleta,"All Year, excepto fiestasNavidad","All year, except during the Christmas holidays"
5356,Albergue Santiago,1 March - 30 November,1 March to 30 November
5358,Albergue-Pensión Los Caminantes I,1 March - 30 November,1 March to 30 November
5359,Albergue Milpés,1 March - 31 October,1 March to 31 October
5360,Albergue Mirador de Ribadiso,"MicroondasNevera
Lavadora y secadora
Taquillas individuales con llave
Camas con enchufe y luz individual",Opening period not recorded. Source lists facilities: microwave; fridge; washing machine and dryer; individual lockers with keys; beds with individual power sockets and lights.
5362,Albergue de Camino,1 March - 30 November,1 March to 30 November
5363,Albergue Don Quijote,1 March - 30 November,1 March to 30 November
